Index;Country;Programme;Year;University;University code;Latitude;Longitude;Reserved
57;Vietnam ;Logistics and Transport Management;2021;University of Gothenburg;GU;57,6982;11,9719;FALSE
58;Honduras ;Environmental Law;2021;Stockholm University;SU;59,3622;18,0578;FALSE
59;Jordan ;Public Health Science - Health Equality;2021;University of Gothenburg;GU;57,6982;11,9719;FALSE
60;Cameroon ;Strategic Entrepreneurship for International Growth with specialization in Strategic Leadership;2021;Halmstad University;HH;56,6647;12,878;FALSE
61;Turkey ;Industrial Management and Innovation;2021;Uppsala University;UU;59,8509;17,63;FALSE
62;Bangladesh ;Software Engineering of Distributed Systems;2021;KTH Royal Institute of Technology;KTH;59,3499;18,0703;FALSE
63;Sudan ;Renewable Electricity Production;2021;Uppsala University;UU;59,8509;17,63;FALSE
64;Ukraine ;Energy-efficient and Environmental Building Design;2021;Lund University;LU;55,7119;13,2035;FALSE
65;Myanmar (Burma) ;Health Economics, Policy and Management;2021;Karolinska University Hospital;KI;59,3522;18,0322;FALSE
66;Azerbaijan ;Entrepreneurship and Innovation Management;2021;KTH Royal Institute of Technology;KTH;59,3499;18,0703;FALSE
67;Philippines ;Political Science with Specialization in Global Asian Studies;2021;Stockholm University;SU;59,3622;18,0578;FALSE
68;Russia ;Innovation and Design;2021;Mälardalen University;MDH;59,6186;16,5404;FALSE
69;Guatemala ;Programme in Development Studies;2021;Lund University;LU;55,7119;13,2035;FALSE
70;Russia ;Leadership and Organisation: Societal Challenges and Organisational Changes;2021;Malmö University;MAU;55,6088;12,9946;FALSE
71;Ghana ;Service Management, Supply Chain Management;2021;Lund University;LU;55,7119;13,2035;FALSE
72;Russia ;Environmental Management and Policy;2021;Lund University;LU;55,7119;13,2035;FALSE
73;Peru ;Entrepreneurship and Innovation;2021;Lund University;LU;55,7119;13,2035;FALSE
74;Cameroon ;Accounting;2021;Umeå University;UMU;63,8202;20,3054;FALSE
75;Belarus ;Human-Computer Interaction;2021;Uppsala University;UU;59,8509;17,63;FALSE
76;Sri Lanka ;Renewable Electricity Production;2021;Uppsala University;UU;59,8509;17,63;FALSE
77;Gambia ;Public Health with a Specialization in Health Economics;2021;Umeå University;UMU;63,8202;20,3054;FALSE
78;Malawi ;Media and Communication Studies;2021;Lund University;LU;55,7119;13,2035;FALSE
79;Pakistan ;Public Health;2021;Umeå University;UMU;63,8202;20,3054;FALSE
80;Colombia ;Information Technology and Learning;2021;University of Gothenburg;GU;57,6982;11,9719;FALSE
81;Uganda ;Humanitarian Action and Conflicts;2021;Uppsala University;UU;59,8509;17,63;FALSE
82;Nigeria ;Chemistry;2021;Linköping University;LIU;58,3978;15,576;FALSE
83;Malawi ;Strategic Communication;2021;Örebro University;ORU;59,2548;15,2493;FALSE
84;Nigeria ;Global Sexual Reproductive Health;2021;Dalarna University in Sweden;HDA;60,6144;15,6534;FALSE
85;Nepal ;SUSTAINABLE ELECTRIC POWER ENGINEERING AND ELECTROMOBILITY;2021;Chalmers University of Technology;CTH;57,6898;11,9742;FALSE
86;Sri Lanka ;SUSTAINABLE ENERGY SYSTEMS;2021;Chalmers University of Technology;CTH;57,6898;11,9742;FALSE
87;Rwanda ;Horticultural Science;2021;Swedish University of Agricultural Sciences;SLU;59,815;17,6629;FALSE
88;Ghana ;Environmental Management and Policy;2021;Lund University;LU;55,7119;13,2035;FALSE
89;Liberia ;INFRASTRUCTURE AND ENVIRONMENTAL ENGINEERING;2021;Chalmers University of Technology;CTH;57,6898;11,9742;FALSE
90;Jordan ;Bioentrepreneurship;2021;Karolinska University Hospital;KI;59,3522;18,0322;FALSE
91;Zimbabwe ;Business Administration - Specialising in Auditing and Control;2021;Kristianstad University;HKR;56,0485;14,1463;FALSE
92;Pakistan ;Economics;2021;Södertörn University;SH;59,2194;17,9434;FALSE
93;Russia ;Leadership and Organisation: Societal Challenges and Organisational Changes;2021;Malmö University;MAU;55,6088;12,9946;FALSE
94;Zimbabwe ;Sports Physiology and Medicine;2021;Örebro University;ORU;59,2548;15,2493;FALSE
95;Azerbaijan ;Education with International and Comparative specialisation;2021;Stockholm University;SU;59,3622;18,0578;FALSE
96;Brazil ;Sea and Society;2021;University of Gothenburg;GU;57,6982;11,9719;FALSE
97;Nigeria ;Environmental Management and Physical Planning;2021;Stockholm University;SU;59,3622;18,0578;FALSE
98;Jordan ;Media Management;2021;KTH Royal Institute of Technology;KTH;59,3499;18,0703;FALSE
99;Sudan ;Renewable Electricity Production;2021;Uppsala University;UU;59,8509;17,63;FALSE
100;Egypt ;Infection Biology;2021;University of Skövde;HS;58,3941;13,8535;FALSE
101;Nigeria ;Business Administration - Specialising in Auditing and Control;2021;Kristianstad University;HKR;56,0485;14,1463;FALSE
102;Zimbabwe ;Business Administration (MBA): Business Management;2021;University of Gävle;HIG;60,6685;17,1188;FALSE
103;Ethiopia ;Global Health;2021;Uppsala University;UU;59,8509;17,63;FALSE
104;Cambodia ;International Business;2021;Luleå University of Technology;LTU;65,618;22,1402;FALSE
105;Myanmar (Burma) ;Global Health;2021;Uppsala University;UU;59,8509;17,63;FALSE
106;Malawi ;Economics;2021;Södertörn University;SH;59,2194;17,9434;FALSE
107;Rwanda ;Global Health;2021;University of Gothenburg;GU;57,6982;11,9719;FALSE
108;Morocco ;Sustainable Energy Processes and Systems;2021;Linnaeus University;LNU;56,8545;14,83;FALSE
109;Bolivia ;Earth Science Hydrology/Hydrogeology;2021;Uppsala University;UU;59,8509;17,63;FALSE
110;Colombia ;Social Sciences Digital Media and Society;2021;Uppsala University;UU;59,8509;17,63;FALSE
111;Myanmar (Burma) ;Energy-efficient and Environmental Building Design;2021;Lund University;LU;55,7119;13,2035;FALSE
112;Bangladesh ;Accounting and Management Control;2021;Stockholm University;SU;59,3622;18,0578;FALSE
113;Zambia ;Science for Sustainable Development;2021;Linköping University;LIU;58,3978;15,576;FALSE
114;Jordan ;Energy Efficient Built Environments;2021;Dalarna University in Sweden;HDA;60,6144;15,6534;FALSE
115;Rwanda ;Strategic Leadership towards Sustainability;2021;Blekinge Institute of Technology;BTH;56,1809;15,5922;FALSE
116;Kenya ;Humanities - Gender Studies;2021;Uppsala University;UU;59,8509;17,63;FALSE
117;Uganda ;Industrial Economics and Management;2021;Blekinge Institute of Technology;BTH;56,1809;15,5922;FALSE
118;Ecuador ;International Development and Management;2021;Lund University;LU;55,7119;13,2035;FALSE
119;Zimbabwe ;Accounting and Finance;2021;Lund University;LU;55,7119;13,2035;FALSE
120;Zimbabwe ;Sports Physiology and Medicine;2021;Örebro University;ORU;59,2548;15,2493;FALSE
121;Azerbaijan ;Education with International and Comparative specialisation;2021;Stockholm University;SU;59,3622;18,0578;FALSE
122;Brazil ;Sea and Society;2021;University of Gothenburg;GU;57,6982;11,9719;FALSE
123;Nigeria ;Environmental Management and Physical Planning;2021;Stockholm University;SU;59,3622;18,0578;FALSE
124;Jordan ;Media Management;2021;KTH Royal Institute of Technology;KTH;59,3499;18,0703;FALSE
125;Sudan ;Renewable Electricity Production;2021;Uppsala University;UU;59,8509;17,63;FALSE
126;Egypt ;Infection Biology;2021;University of Skövde;HS;58,3941;13,8535;FALSE
127;Nigeria ;Business Administration - Specialising in Auditing and Control;2021;Kristianstad University;HKR;56,0485;14,1463;FALSE
128;Zimbabwe ;Business Administration (MBA): Business Management;2021;University of Gävle;HIG;60,6685;17,1188;FALSE
129;Ethiopia ;Global Health;2021;Uppsala University;UU;59,8509;17,63;FALSE
130;Cambodia ;International Business;2021;Luleå University of Technology;LTU;65,618;22,1402;FALSE
131;Myanmar (Burma) ;Global Health;2021;Uppsala University;UU;59,8509;17,63;FALSE
132;Malawi ;Economics;2021;Södertörn University;SH;59,2194;17,9434;FALSE
133;Rwanda ;Global Health;2021;University of Gothenburg;GU;57,6982;11,9719;FALSE
134;Morocco ;Sustainable Energy Processes and Systems;2021;Linnaeus University;LNU;56,8545;14,83;FALSE
135;Bolivia ;Earth Science Hydrology/Hydrogeology;2021;Uppsala University;UU;59,8509;17,63;FALSE
136;Colombia ;Social Sciences Digital Media and Society;2021;Uppsala University;UU;59,8509;17,63;FALSE
137;Myanmar (Burma) ;Energy-efficient and Environmental Building Design;2021;Lund University;LU;55,7119;13,2035;FALSE
138;Bangladesh ;Accounting and Management Control;2021;Stockholm University;SU;59,3622;18,0578;FALSE
139;Zambia ;Science for Sustainable Development;2021;Linköping University;LIU;58,3978;15,576;FALSE
140;Jordan ;Energy Efficient Built Environments;2021;Dalarna University in Sweden;HDA;60,6144;15,6534;FALSE
141;Rwanda ;Strategic Leadership towards Sustainability;2021;Blekinge Institute of Technology;BTH;56,1809;15,5922;FALSE
142;Kenya ;Humanities - Gender Studies;2021;Uppsala University;UU;59,8509;17,63;FALSE
143;Uganda ;Industrial Economics and Management;2021;Blekinge Institute of Technology;BTH;56,1809;15,5922;FALSE
144;Ecuador ;International Development and Management;2021;Lund University;LU;55,7119;13,2035;FALSE
145;Zimbabwe ;Accounting and Finance;2021;Lund University;LU;55,7119;13,2035;FALSE
146;Zimbabwe ;Sports Physiology and Medicine;2021;Örebro University;ORU;59,2548;15,2493;FALSE
147;Azerbaijan ;Education with International and Comparative specialisation;2021;Stockholm University;SU;59,3622;18,0578;FALSE
148;Brazil ;Sea and Society;2021;University of Gothenburg;GU;57,6982;11,9719;FALSE
149;Nigeria ;Environmental Management and Physical Planning;2021;Stockholm University;SU;59,3622;18,0578;FALSE
150;Jordan ;Media Management;2021;KTH Royal Institute of Technology;KTH;59,3499;18,0703;FALSE
151;Sudan ;Renewable Electricity Production;2021;Uppsala University;UU;59,8509;17,63;FALSE
152;Egypt ;Infection Biology;2021;University of Skövde;HS;58,3941;13,8535;FALSE
153;Nigeria ;Business Administration - Specialising in Auditing and Control;2021;Kristianstad University;HKR;56,0485;14,1463;FALSE
154;Zimbabwe ;Business Administration (MBA): Business Management;2021;University of Gävle;HIG;60,6685;17,1188;FALSE
155;Ethiopia ;Global Health;2021;Uppsala University;UU;59,8509;17,63;FALSE
156;Cambodia ;International Business;2021;Luleå University of Technology;LTU;65,618;22,1402;FALSE
157;Myanmar (Burma) ;Global Health;2021;Uppsala University;UU;59,8509;17,63;FALSE
158;Malawi ;Economics;2021;Södertörn University;SH;59,2194;17,9434;FALSE
159;Rwanda ;Global Health;2021;University of Gothenburg;GU;57,6982;11,9719;FALSE
160;Morocco ;Sustainable Energy Processes and Systems;2021;Linnaeus University;LNU;56,8545;14,83;FALSE
161;Bolivia ;Earth Science Hydrology/Hydrogeology;2021;Uppsala University;UU;59,8509;17,63;FALSE
162;Colombia ;Social Sciences Digital Media and Society;2021;Uppsala University;UU;59,8509;17,63;FALSE
163;Myanmar (Burma) ;Energy-efficient and Environmental Building Design;2021;Lund University;LU;55,7119;13,2035;FALSE
164;Bangladesh ;Accounting and Management Control;2021;Stockholm University;SU;59,3622;18,0578;FALSE
165;Zambia ;Science for Sustainable Development;2021;Linköping University;LIU;58,3978;15,576;FALSE
166;Jordan ;Energy Efficient Built Environments;2021;Dalarna University in Sweden;HDA;60,6144;15,6534;FALSE
167;Rwanda ;Strategic Leadership towards Sustainability;2021;Blekinge Institute of Technology;BTH;56,1809;15,5922;FALSE
168;Kenya ;Humanities - Gender Studies;2021;Uppsala University;UU;59,8509;17,63;FALSE
169;Uganda ;Industrial Economics and Management;2021;Blekinge Institute of Technology;BTH;56,1809;15,5922;FALSE
170;Ecuador ;International Development and Management;2021;Lund University;LU;55,7119;13,2035;FALSE
171;Zimbabwe ;Accounting and Finance;2021;Lund University;LU;55,7119;13,2035;FALSE
172;Kenya ;Global Health;2021;University of Gothenburg;GU;57,6982;11,9719;FALSE
173;Egypt ;Data Analytics and Business Economics;2021;Lund University;LU;55,7119;13,2035;FALSE
174;Ethiopia ;Communication Systems;2021;KTH Royal Institute of Technology;KTH;59,3499;18,0703;FALSE
175;Ukraine ;International Human Rights Law;2021;Lund University;LU;55,7119;13,2035;FALSE
176;Gambia ;Global Health;2021;University of Gothenburg;GU;57,6982;11,9719;FALSE
177;Ethiopia ;SOFTWARE ENGINEERING AND TECHNOLOGY;2021;Chalmers University of Technology;CTH;57,6898;11,9742;FALSE
178;Cambodia ;Computer Science;2021;Uppsala University;UU;59,8509;17,63;FALSE
179;Indonesia ;Energy Efficient Built Environments;2021;Dalarna University in Sweden;HDA;60,6144;15,6534;FALSE
180;Azerbaijan ;Sustainable Production Development;2021;KTH Royal Institute of Technology;KTH;59,3499;18,0703;FALSE
181;Ukraine ;Sociology of Education;2021;Uppsala University;UU;59,8509;17,63;FALSE
182;Turkey ;International Migration and Ethnic Relations;2021;Malmö University;MAU;55,6088;12,9946;FALSE
183;Guatemala ;Infectious Disease Control;2021;Södertörn University;SH;59,2194;17,9434;FALSE
184;Cambodia ;Leadership and Organisation: Societal Challenges and Organisational Changes;2021;Malmö University;MAU;55,6088;12,9946;FALSE
185;Rwanda ;Finance;2021;Umeå University;UMU;63,8202;20,3054;FALSE
186;Egypt ;Drug Discovery and Development;2021;Uppsala University;UU;59,8509;17,63;FALSE
187;Philippines ;MATERIALS CHEMISTRY;2021;Chalmers University of Technology;CTH;57,6898;11,9742;FALSE
188;Colombia ;Data Analytics and Business Economics;2021;Lund University;LU;55,7119;13,2035;FALSE
189;Zambia ;Civil Engineering, with specialization in mining and Geotechnical Engineering;2021;Luleå University of Technology;LTU;65,618;22,1402;FALSE
190;Bangladesh ;Business Administration - Strategy and Management in International Organisations;2021;Linköping University;LIU;58,3978;15,576;FALSE
191;Georgia ;Accounting and Finance;2021;Lund University;LU;55,7119;13,2035;FALSE
192;Bangladesh ;Textile Value Chain Management;2021;University of Borås;HB;57,7248;12,9403;FALSE
193;Ukraine ;Management;2021;Lund University;LU;55,7119;13,2035;FALSE
194;Cameroon ;Public Health;2021;Umeå University;UMU;63,8202;20,3054;FALSE
195;Colombia ;Energy Efficient Built Environments;2021;Dalarna University in Sweden;HDA;60,6144;15,6534;FALSE
196;Sri Lanka ;Information Security;2021;Luleå University of Technology;LTU;65,618;22,1402;FALSE
197;Azerbaijan ;European Business Law;2021;Lund University;LU;55,7119;13,2035;FALSE
198;Ukraine ;Urban Studies: Urban Business and Development – Real Estate and Transport;2021;Malmö University;MAU;55,6088;12,9946;FALSE
199;Bangladesh ;Environmental Engineering and Sustainable Infrastructure;2021;KTH Royal Institute of Technology;KTH;59,3499;18,0703;FALSE
200;Peru ;International Marketing & Brand Management;2021;Lund University;LU;55,7119;13,2035;FALSE
201;Zambia ;Welfare Policies and Management;2021;Lund University;LU;55,7119;13,2035;FALSE
202;Bangladesh ;Infection Biology;2021;University of Skövde;HS;58,3941;13,8535;FALSE
203;Ethiopia ;Architecture;2021;Lund University;LU;55,7119;13,2035;FALSE
204;Bangladesh ;Public Health;2021;Umeå University;UMU;63,8202;20,3054;FALSE
205;Kenya ;Outdoor and Sustainability Education;2021;Linköping University;LIU;58,3978;15,576;FALSE
206;Liberia ;Public Health;2021;Lund University;LU;55,7119;13,2035;FALSE
207;Rwanda ;Finance;2021;Umeå University;UMU;63,8202;20,3054;FALSE
208;Rwanda ;Production Engineering and Management;2021;Jönköping University;HJ;57,7786;14,1619;FALSE
209;Ghana ;Chemistry for Renewable Energy;2021;Uppsala University;UU;59,8509;17,63;FALSE
210;Georgia ;Strategic Communication;2021;Lund University;LU;55,7119;13,2035;FALSE
211;Ethiopia ;Public Health;2021;Umeå University;UMU;63,8202;20,3054;FALSE
212;Rwanda ;Environmental Engineering and Sustainable Infrastructure;2021;KTH Royal Institute of Technology;KTH;59,3499;18,0703;FALSE
213;Sudan ;Public Health with a Specialization in Health Economics;2021;Umeå University;UMU;63,8202;20,3054;FALSE
214;Sri Lanka ;Bioentrepreneurship;2021;Karolinska University Hospital;KI;59,3522;18,0322;FALSE
215;Ukraine ;Sustainable Urban Design;2021;Lund University;LU;55,7119;13,2035;FALSE
216;Turkey ;Investment Treaty Arbitration;2021;Uppsala University;UU;59,8509;17,63;FALSE
217;Indonesia ;European Business Law;2021;Lund University;LU;55,7119;13,2035;FALSE
218;Liberia ;Economics;2021;Södertörn University;SH;59,2194;17,9434;FALSE
219;Turkey ;Social Studies of Gender;2021;Lund University;LU;55,7119;13,2035;FALSE
220;Belarus ;Innovation and Design;2021;Mälardalen University;MDH;59,6186;16,5404;FALSE
221;Philippines ;Leadership for Sustainability;2021;Malmö University;MAU;55,6088;12,9946;FALSE
222;Ghana ;Public Health Science - Health Economics;2021;University of Gothenburg;GU;57,6982;11,9719;FALSE
223;Indonesia ;International Marketing & Brand Management;2021;Lund University;LU;55,7119;13,2035;FALSE
224;Ukraine ;Urban Studies: Urban Business and Development – Real Estate and Transport;2021;Malmö University;MAU;55,6088;12,9946;FALSE
225;Bangladesh ;Environmental Engineering and Sustainable Infrastructure;2021;KTH Royal Institute of Technology;KTH;59,3499;18,0703;FALSE
226;Peru ;International Marketing & Brand Management;2021;Lund University;LU;55,7119;13,2035;FALSE
227;Zambia ;Welfare Policies and Management;2021;Lund University;LU;55,7119;13,2035;FALSE
228;Bangladesh ;Infection Biology;2021;University of Skövde;HS;58,3941;13,8535;FALSE
229;Ethiopia ;Architecture;2021;Lund University;LU;55,7119;13,2035;FALSE
230;Bangladesh ;Public Health;2021;Umeå University;UMU;63,8202;20,3054;FALSE
231;Kenya ;Outdoor and Sustainability Education;2021;Linköping University;LIU;58,3978;15,576;FALSE
232;Liberia ;Public Health;2021;Lund University;LU;55,7119;13,2035;FALSE
233;Rwanda ;Finance;2021;Umeå University;UMU;63,8202;20,3054;FALSE
234;Rwanda ;Production Engineering and Management;2021;Jönköping University;HJ;57,7786;14,1619;FALSE
235;Ghana ;Chemistry for Renewable Energy;2021;Uppsala University;UU;59,8509;17,63;FALSE
236;Georgia ;Strategic Communication;2021;Lund University;LU;55,7119;13,2035;FALSE
237;Ethiopia ;Public Health;2021;Umeå University;UMU;63,8202;20,3054;FALSE
238;Rwanda ;Environmental Engineering and Sustainable Infrastructure;2021;KTH Royal Institute of Technology;KTH;59,3499;18,0703;FALSE
239;Sudan ;Public Health with a Specialization in Health Economics;2021;Umeå University;UMU;63,8202;20,3054;FALSE
240;Sri Lanka ;Bioentrepreneurship;2021;Karolinska University Hospital;KI;59,3522;18,0322;FALSE
241;Ukraine ;Sustainable Urban Design;2021;Lund University;LU;55,7119;13,2035;FALSE
242;Turkey ;Investment Treaty Arbitration;2021;Uppsala University;UU;59,8509;17,63;FALSE
243;Indonesia ;European Business Law;2021;Lund University;LU;55,7119;13,2035;FALSE
244;Liberia ;Economics;2021;Södertörn University;SH;59,2194;17,9434;FALSE
245;Turkey ;Social Studies of Gender;2021;Lund University;LU;55,7119;13,2035;FALSE
246;Belarus ;Innovation and Design;2021;Mälardalen University;MDH;59,6186;16,5404;FALSE
247;Philippines ;Leadership for Sustainability;2021;Malmö University;MAU;55,6088;12,9946;FALSE
248;Ghana ;Public Health Science - Health Economics;2021;University of Gothenburg;GU;57,6982;11,9719;FALSE
249;Indonesia ;International Marketing & Brand Management;2021;Lund University;LU;55,7119;13,2035;FALSE
250;Morocco ;Resource Recovery-Sustainable Energy Processes;2021;University of Borås;HB;57,7248;12,9403;FALSE
251;Rwanda ;International Business;2021;University West;HV;58,2832;12,294;FALSE
252;Kenya ;Economics;2021;Umeå University;UMU;63,8202;20,3054;FALSE
253;Azerbaijan ;Economics;2021;Lund University;LU;55,7119;13,2035;FALSE
254;Nepal ;Sustainable Energy Engineering;2021;Lund University;LU;55,7119;13,2035;FALSE
255;Egypt ;Entrepreneurship and Innovation Management;2021;KTH Royal Institute of Technology;KTH;59,3499;18,0703;FALSE
256;Sudan ;Communication Systems;2021;KTH Royal Institute of Technology;KTH;59,3499;18,0703;FALSE
257;Georgia ;Environmental Law;2021;Stockholm University;SU;59,3622;18,0578;FALSE
258;Indonesia ;Entrepreneurship;2021;Uppsala University;UU;59,8509;17,63;FALSE
259;Russia ;Business Intelligence;2021;Dalarna University in Sweden;HDA;60,6144;15,6534;FALSE
260;Russia ;Entrepreneurship, Sustainability and Social Change;2021;Linnaeus University;LNU;56,8545;14,83;FALSE
261;Tanzania ;Public Health within Health and Social Welfare;2021;Mälardalen University;MDH;59,6186;16,5404;FALSE
262;Ethiopia ;Strategic Information Systems Management;2021;Stockholm University;SU;59,3622;18,0578;FALSE
263;Vietnam ;Marketing Communication;2021;Stockholm University;SU;59,3622;18,0578;FALSE
264;Uganda ;Computer Science: Innovation for Change in a Digital Society;2021;Malmö University;MAU;55,6088;12,9946;FALSE
265;Egypt ;Finance;2021;Lund University;LU;55,7119;13,2035;FALSE
266;Peru ;Environmental Engineering and Sustainable Infrastructure;2021;KTH Royal Institute of Technology;KTH;59,3499;18,0703;FALSE
267;Pakistan ;Privacy, Information and Cyber Security;2021;University of Skövde;HS;58,3941;13,8535;FALSE
268;Russia ;International Strategic Management;2021;Lund University;LU;55,7119;13,2035;FALSE
269;Uganda ;Social Work and Human Rights;2021;University of Gothenburg;GU;57,6982;11,9719;FALSE
270;Ghana ;Outdoor and Sustainability Education;2021;Linköping University;LIU;58,3978;15,576;FALSE
271;Azerbaijan ;Digital Service Innovation;2021;Halmstad University;HH;56,6647;12,878;FALSE
272;Azerbaijan ;European Business Law;2021;Lund University;LU;55,7119;13,2035;FALSE
273;Honduras ;International Human Rights Law;2021;Lund University;LU;55,7119;13,2035;FALSE
274;Ukraine ;European Intellectual Proterty Law;2021;Stockholm University;SU;59,3622;18,0578;FALSE
275;Sudan ;Public Health with a Specialization in Health Economics;2021;Umeå University;UMU;63,8202;20,3054;FALSE
276;Azerbaijan ;Innovation and Industrial Management;2021;University of Gothenburg;GU;57,6982;11,9719;FALSE
277;Ukraine ;Managing People, Knowledge & Change;2021;Lund University;LU;55,7119;13,2035;FALSE
278;Ethiopia ;Infection Biology;2021;University of Skövde;HS;58,3941;13,8535;FALSE
279;Nepal ;Leadership for Sustainable Development: Sociology;2021;Södertörn University;SH;59,2194;17,9434;FALSE
280;Tanzania ;Environmental Sciences with focus on sustainable development;2021;Umeå University;UMU;63,8202;20,3054;FALSE
281;Philippines ;Sustainability Engineering and Management;2021;Linköping University;LIU;58,3978;15,576;FALSE
